feature,judge_coef,fan_coef,dual_standard_index,sign_opposite,magnitude_diff,sample_size,reliability,interpretation
occupation_News Anchor,-0.3868887389983928,0.054490586720164554,0.9259268561386705,True,0.7530895204622352,17,⚠️ 小样本(<30),【谨慎解读】小样本导致系数不稳定
occupation_Social Media Personality,0.18176666993467977,-0.03382467845845377,0.9058644547428267,True,0.6862148491427561,70,✅ 可靠,裁判偏好年长 vs 粉丝偏好年轻（方向相反）
region_group_Other_Region,0.005727091479065717,-0.025749614970444024,0.8908317551816002,True,0.6361058506053341,721,✅ 可靠,裁判偏好年长 vs 粉丝偏好年轻（方向相反）
week_eliminated,-0.17647522393667048,0.04032706174412277,0.888394908501805,True,0.62798302833935,2777,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
week_num,-0.11241501724379588,0.04079389694760886,0.8402420661998324,True,0.4674735539994417,2777,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
dancer_popularity,-0.02605608933535435,0.07107520889403152,0.8390461645560041,True,0.4634872151866807,2777,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
occupation_Racing Driver,-0.19707269801874744,0.48137778978883794,0.8257151815889986,True,0.4190506052966622,32,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
age,-0.3385241790093164,0.14690714845832584,0.8184206801834852,True,0.39473560061161755,2777,🔍 需验证(原始corr_p=0.191),【业务存疑】粉丝系数为正需验证混杂因素
region_group_Midwest,0.05731949752145758,-0.1257402760351466,0.8121285798295492,True,0.37376193276516423,255,✅ 可靠,裁判偏好年长 vs 粉丝偏好年轻（方向相反）
dancer_experience,0.10720798736053423,-0.05459425697761938,0.7975519110004915,True,0.3251730366683051,2777,✅ 可靠,裁判偏好年长 vs 粉丝偏好年轻（方向相反）
occupation_Other_Occupation,-0.3663211897639173,0.18986912077969342,0.7951753720624422,True,0.3172512402081408,101,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
occupation_Singer/Rapper,-0.035815188825739634,0.067960878690067,0.7929280349590138,True,0.3097601165300462,404,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
occupation_Politician,-1.1525264615913304,0.8017802822139093,0.7538420356007799,True,0.1794734520025997,15,⚠️ 小样本(<30),【谨慎解读】小样本导致系数不稳定
occupation_TV Personality,-0.3363719477700833,0.24016380953903135,0.75006184022897,True,0.16687280076323363,466,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
occupation_Athlete,-0.2385257158987079,0.1738078581195132,0.7470865291751264,True,0.15695509725042148,616,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
occupation_Comedian,-0.4549943625791208,0.3370595392113372,0.7446692409237101,True,0.14889746974570067,66,✅ 可靠,裁判偏好年轻 vs 粉丝偏好年长（方向相反）
region_group_Unknown,0.09290548422869783,-0.11356925754238867,0.7300236805756283,True,0.10007893525209442,375,✅ 可靠,裁判偏好年长 vs 粉丝偏好年轻（方向相反）
occupation_Entrepreneur,-0.5090489071441124,0.5304718961022442,0.7061825570065968,True,0.020608523355322882,18,⚠️ 小样本(<30),【谨慎解读】小样本导致系数不稳定
occupation_Radio Personality,-1.1401441602207436,-0.02602294430075098,0.2866110359432857,False,0.9553701198109523,17,⚠️ 小样本(<30),【谨慎解读】小样本导致系数不稳定
region_group_West_Coast,-0.09958745479879688,-0.026247783093842507,0.1748468881331086,False,0.5828229604436954,474,✅ 可靠,双方评价方向一致，裁判影响更强
gender,-0.008112566579017433,-0.027286166261316788,0.16249390354438634,False,0.5416463451479545,2777,✅ 可靠,双方评价方向一致，粉丝影响更强
occupation_Model,-0.23950140957335234,-0.09556932071525866,0.1288671956860083,False,0.429557318953361,73,✅ 可靠,双方评价方向一致，裁判影响更强
dancer_ability,0.09054347883331064,0.040624286684172596,0.11417253655220604,False,0.3805751218406868,2777,✅ 可靠,双方评价方向一致，裁判影响更强
region_group_South,-0.03272991597525471,-0.02863908918059821,0.019997844763847476,False,0.06665948254615825,529,✅ 可靠,双方评价方向一致，裁判影响更强
