feature,importance_judge,importance_fan,importance_judge_norm,importance_fan_norm
age,0.46297410039924963,0.45888344418174476,0.26067420703954186,0.24859595887234653
gender,0.02378020254577241,0.013061197230149205,0.013389270450578675,0.007075785563019335
dancer_ability,0.0766866647015875,0.03763935107735808,0.0431778699809661,0.020390778292499925
dancer_popularity,0.0466126867656588,0.12875757673214336,0.026244934976151744,0.0697532535890086
dancer_experience,0.10975885110420736,0.19745471101290302,0.06179892450244452,0.10696930525711797
week_num,0.24684304322478856,0.2870588815083914,0.138983183941305,0.15551155485386928
week_eliminated,0.5937714122972836,0.40105922156315366,0.33431868419824495,0.2172702088367375
occupation_Athlete,0.018502437100970187,0.027361101821350674,0.010417662922040683,0.014822629644465105
occupation_Comedian,0.006660484168314393,0.0038808263868876343,0.0037501372702653047,0.002102402623362753
occupation_Entrepreneur,0.0010573419549008655,0.0026847541452831086,0.0005953287136920562,0.0014544412955958038
occupation_Model,0.0015944542209416703,0.0013352504350779859,0.0008977458768134021,0.0007233598563025581
occupation_News Anchor,0.0004915215165547983,0.00014705275133732873,0.0002767476225134488,7.966449909454866e-05
occupation_Other_Occupation,0.007502268632061523,0.00901175538490898,0.004224097903044245,0.004882037038902619
occupation_Politician,0.008824923939400094,0.020718229027693207,0.004968809374225457,0.011223913341350335
occupation_Racing Driver,0.001993659854983363,0.013167521330913118,0.0011225157116914147,0.007133385683737956
occupation_Radio Personality,0.0011476119680404607,0.0006904886401788834,0.0006461545894253225,0.0003740659807455325
occupation_Singer/Rapper,0.011089107845494245,0.007459192548073618,0.006243641689475509,0.004040950152839686
occupation_Social Media Personality,0.0016879753406221034,0.0008166064605338375,0.0009504022644884879,0.00044238917017315715
occupation_TV Personality,0.06569307754219104,0.12197350988095054,0.036988010520524445,0.06607804668122043
region_group_Midwest,0.006671793218637344,0.018123230880569777,0.0037565047489704056,0.009818096546616265
region_group_Other_Region,0.0404295064857506,0.02063724792199199,0.022763540196060035,0.011180042559177676
region_group_South,0.01826113886817987,0.05254407090806233,0.010281801703371181,0.028465275564121047
region_group_Unknown,0.010121320765615891,0.006609255985911867,0.005698736198190251,0.0035805047013197948
region_group_West_Coast,0.013908513545316994,0.014826180679770895,0.00783108760597553,0.008031949396375564
