,时刻 (Moment),时间 t (Time t),主路5的车流量 (Traffic flow on the Main road 5)
0, 07:00,0,32.5
1, 07:02,1,34.1
2, 07:04,2,35.7
3, 07:06,3,37.3
4, 07:08,4,38.9
5, 07:10,5,40.5
6, 07:12,6,53.1
7, 07:14,7,54.7
8, 07:16,8,56.3
9, 07:18,9,57.9
10, 07:20,10,59.5
11, 07:22,11,61.1
12, 07:24,12,62.7
13, 07:26,13,64.3
14, 07:28,14,51.9
15, 07:30,15,53.5
16, 07:32,16,55.1
17, 07:34,17,56.7
18, 07:36,18,71.3
19, 07:38,19,71.9
20, 07:40,20,72.5
21, 07:42,21,73.1
22, 07:44,22,73.7
23, 07:46,23,74.3
24, 07:48,24,74.9
25, 07:50,25,75.5
26, 07:52,26,64.5
27, 07:54,27,64.5
28, 07:56,28,64.5
29, 07:58,29,64.5
30, 08:00,30,64.5
31, 08:02,31,64.5
32, 08:04,32,64.5
33, 08:06,33,64.5
34, 08:08,34,75.5
35, 08:10,35,75.5
36, 08:12,36,75.5
37, 08:14,37,75.5
38, 08:16,38,75.5
39, 08:18,39,75.9
40, 08:20,40,76.3
41, 08:22,41,76.7
42, 08:24,42,63.1
43, 08:26,43,63.5
44, 08:28,44,63.9
45, 08:30,45,64.3
46, 08:32,46,78.7
47, 08:34,47,79.1
48, 08:36,48,79.5
49, 08:38,49,79.9
50, 08:40,50,80.3
51, 08:42,51,80.7
52, 08:44,52,81.1
53, 08:46,53,81.5
54, 08:48,54,70.9
55, 08:50,55,71.3
56, 08:52,56,71.7
57, 08:54,57,72.1
58, 08:56,58,72.5
59, 08:58,59,72.9
