2030,15.41 °C,15.38 °C,15.38 °C
2031,15.41 °C,15.41 °C,15.38 °C
2032,15.46 °C,15.44 °C,15.46 °C
2033,15.5 °C,15.47 °C,15.46 °C
2034,15.59 °C,15.5 °C,15.46 °C
2035,15.59 °C,15.53 °C,15.51 °C
2036,15.69 °C,15.56 °C,15.51 °C
2037,15.63 °C,15.59 °C,15.6 °C
2038,15.75 °C,15.63 °C,15.6 °C
2039,15.72 °C,15.66 °C,15.6 °C
2040,15.77 °C,15.69 °C,15.68 °C
2041,15.75 °C,15.72 °C,15.76 °C
2042,15.87 °C,15.76 °C,15.78 °C
2043,15.9 °C,15.79 °C,15.78 °C
2044,15.86 °C,15.82 °C,15.81 °C
2045,15.85 °C,15.86 °C,15.81 °C
2046,15.84 °C,15.89 °C,15.85 °C
2047,15.91 °C,15.93 °C,15.92 °C
2048,15.98 °C,15.96 °C,15.92 °C
2049,15.94 °C,16.0 °C,15.93 °C
2050,15.96 °C,16.03 °C,15.95 °C
