Year,temp
1880,14.02
1881,14.1
1882,14.08
1883,14.01
1884,13.9
1885,13.85
1886,13.87
1887,13.82
1888,14.01
1889,14.08
1890,13.83
1891,13.959999999999999
1892,13.91
1893,13.87
1894,13.879999999999999
1895,13.959999999999999
1896,14.07
1897,14.07
1898,13.91
1899,14.0
1900,14.1
1901,14.03
1902,13.9
1903,13.809999999999999
1904,13.709999999999999
1905,13.92
1906,13.959999999999999
1907,13.79
1908,13.75
1909,13.69
1910,13.74
1911,13.74
1912,13.82
1913,13.83
1914,14.03
1915,14.04
1916,13.82
1917,13.719999999999999
1918,13.879999999999999
1919,13.9
1920,13.91
1921,13.99
1922,13.9
1923,13.92
1924,13.91
1925,13.959999999999999
1926,14.08
1927,13.969999999999999
1928,13.99
1929,13.82
1930,14.03
1931,14.09
1932,14.03
1933,13.9
1934,14.059999999999999
1935,13.99
1936,14.04
1937,14.16
1938,14.18
1939,14.16
1940,14.309999999999999
1941,14.37
1942,14.25
1943,14.27
1944,14.389999999999999
1945,14.28
1946,14.11
1947,14.16
1948,14.08
1949,14.08
1950,14.02
1951,14.12
1952,14.2
1953,14.27
1954,14.059999999999999
1955,14.049999999999999
1956,14.0
1957,14.24
1958,14.25
1959,14.219999999999999
1960,14.16
1961,14.25
1962,14.219999999999999
1963,14.24
1964,13.99
1965,14.08
1966,14.129999999999999
1967,14.17
1968,14.11
1969,14.24
1970,14.219999999999999
1971,14.11
1972,14.2
1973,14.35
1974,14.12
1975,14.18
1976,14.09
1977,14.37
1978,14.26
1979,14.35
1980,14.45
1981,14.51
1982,14.33
1983,14.5
1984,14.35
1985,14.309999999999999
1986,14.37
1987,14.51
1988,14.58
1989,14.459999999999999
1990,14.639999999999999
1991,14.6
1992,14.41
1993,14.42
1994,14.5
1995,14.629999999999999
1996,14.52
1997,14.65
1998,14.799999999999999
1999,14.57
2000,14.58
2001,14.719999999999999
2002,14.82
2003,14.809999999999999
2004,14.719999999999999
2005,14.87
2006,14.83
2007,14.85
2008,14.73
2009,14.85
2010,14.92
2011,14.799999999999999
2012,14.84
2013,14.87
2014,14.94
2015,15.09
2016,15.2
2017,15.11
2018,15.04
2019,15.17
2020,15.2
2021,15.04
2022,15.08
2023,15.36
