Year,Emission
1970,96575.47667445299
1971,93528.79895415454
1972,97908.57676217641
1973,103930.96180386248
1974,103215.20169989571
1975,103893.91645355846
1976,109356.33715082525
1977,113375.65578409177
1978,115849.82359643673
1979,117528.40962795625
1980,116109.63957584795
1981,113005.43560392778
1982,109553.96553252412
1983,108450.48573424523
1984,109066.74864340892
1985,108031.06395655882
1986,108878.81280166413
1987,109937.96484805929
1988,111383.33848688139
1989,110122.10462449651
1990,110189.27248466732
1991,108378.90218801072
1992,105902.70179474681
1993,103980.66491459706
1994,99945.6469064723
1995,98410.4861778759
1996,97324.39861456663
1997,98377.9335663286
1998,97966.45333972617
1999,94388.56449232821
2000,94075.94751154305
2001,91690.09668933507
2002,88889.13453300686
2003,91236.3784542515
2004,94892.36098766464
2005,97172.598468857
2006,96276.00317820757
2007,95794.89646638063
2008,94257.87266023386
2009,92103.23425418102
2010,95727.55049193303
2011,98673.04528094795
2012,99070.03693296813
2013,97764.6615517778
2014,97595.0983383924
2015,95070.07603591727
2016,92660.23994782528
2017,91897.53945593123
2018,90786.20091964175
2019,89060.66041781077
2020,77686.9275618753
2021,82204.55055638624
2022,83902.54834012511
