,anomaly,CO2
1880,15.807642,858.055674
1881,15.858622,887.964969
1882,15.795668,937.888221
1883,15.762982,997.514559
1884,15.655905,1009.429803
1885,15.670872,1017.14455
1886,15.657087,1032.613676
1887,15.587918,1083.727515
1888,15.759082,1200.80164
1889,15.842983,1201.516232
1890,15.573376,1306.591164
1891,15.732391,1368.915607
1892,15.591376,1379.808961
1893,15.596469,1362.515016
1894,15.57238,1411.532927
1895,15.661493,1495.238838
1896,15.855355,1544.660873
1897,15.810124,1617.492798
1898,15.575611,1705.960878
1899,15.698551,1863.135385
1900,15.778244,1961.49074
1901,15.65122,2023.963811
1902,15.562885,2074.800354
1903,15.441764,2262.046168
1904,15.411976,2287.50933
1905,15.579203,2437.062082
1906,15.631176,2544.485736
1907,15.541162,2900.324676
1908,15.436145,2785.686667
1909,15.416673,2901.167235
1910,15.419849,3043.3259
1911,15.418659,3090.098124
1912,15.555026,3246.477083
1913,15.520697,3516.532973
1914,15.666016,3189.786302
1915,15.778871,3140.276533
1916,15.590211,3391.973242
1917,15.54505,3548.13832
1918,15.591115,3499.686323
1919,15.635564,3033.839374
1920,15.716844,3537.837259
1921,15.742089,3106.184128
1922,15.660258,3254.462643
1923,15.685224999999999,3690.697713
1924,15.691196,3702.777064
1925,15.734162,3740.633513
1926,15.859367,3677.407432
1927,15.785788,4012.947385
1928,15.753456,3996.31173
1929,15.684199,4288.211409
1930,15.837619,3958.095957
1931,15.892668,3539.320339
1932,15.809592,3192.591529
1933,15.737276,3362.683413
1934,15.793205,3656.187221
1935,15.787863,3835.74255
1936,15.827371,4207.930753
1937,15.967573,4496.715384
1938,15.887475,4229.619213
1939,15.899364,4470.134676
1940,15.9883,4884.663525
1941,15.99851,4999.092726
1942,16.042391,4982.524053
1943,16.03799,5075.2732
1944,16.191962,5162.486555
1945,16.189078,4289.31269
1946,15.912757,4608.546995
1947,15.85106,5165.205488
1948,15.864823,5447.884758
1949,15.8794,5204.035324
1950,15.861794,5930.24384
1951,15.963905,6381.428815
1952,16.059055999999998,6467.460418
1953,16.073405,6650.885226
1954,15.887025,6789.529059
1955,15.812046,7443.895798
1956,15.798927,7926.012519
1957,16.003576,8185.644782
1958,16.026426,8417.187818
1959,15.96968,8854.689147
1960,15.928076,9387.010408
1961,15.978712,9415.042136
1962,15.923869,9747.287164
1963,15.971023,10266.772214
1964,15.762916,10824.466098
1965,15.798883,11310.600442
1966,15.90954,11862.646324
1967,15.849529,12237.369276
1968,15.851219,12905.283072
1969,16.016245,13761.785289
1970,15.906882,14899.124437
1971,15.748293,15503.854717
1972,15.984128,16224.59665
1973,16.015214,17085.092898
1974,15.858983,17011.071683
1975,15.852135,17052.752626
1976,15.873006,17989.112066
1977,16.082577,18498.634217
1978,16.024816,19069.29054
1979,16.142472,19609.020292
1980,16.137563,19488.524409
1981,16.111872,19022.904781
1982,16.094032,18871.097907
1983,16.189167,18991.910433
1984,16.05704,19647.80142
1985,16.040754,20311.901626
1986,16.070034,20614.963191
1987,16.22635,21250.074602
1988,16.20097,22085.130012
1989,16.158481,22386.637475
1990,16.284238,22728.988298
1991,16.264156,23186.101443
1992,16.166137,22528.172033
1993,16.195965,22755.786985
1994,16.235623,22992.946899
1995,16.291745,23532.083006
1996,16.230673,24258.167449
1997,16.412603,24401.905705
1998,16.501822,24303.777314
1999,16.266517,24853.727679
2000,16.271662,25510.552797
2001,16.38249,25706.293448
2002,16.424114,26276.868728
2003,16.450116,27669.489789
2004,16.428793,28632.505929
2005,16.439951,29614.394099
2006,16.416598,30628.396101
2007,16.351315,31534.64403
2008,16.324677,32074.19856
2009,16.474312,31541.921943
2010,16.478558,33355.903443
2011,16.371829,34504.538119
2012,16.442425,35000.020343
2013,16.468258,35301.655845
2014,16.570052,35450.094746
2015,16.695925,35404.896971
2016,16.714704,35416.656076
2017,16.637901,35989.897876
2018,16.60136,36730.426557
2019,16.693531,37104.277858
2020,16.689044,35126.526124
2021,16.614056,36991.736276
2022,16.667735,37293.836393
2023,16.915394,37791.568711
2024,16.937961,
